Ticker,Name,Sector,Market Value,Weight (%),Notional Value,Shares,Price,Currency
AAPL,APPLE INC,Information Technology,"19,741,977,277.52",6.62,"19,741,977,277.52","133,463,881.00",147.92,USD
MSFT,MICROSOFT CORP,Information Technology,"16,643,768,699.04",5.58,"16,643,768,699.04","66,532,494.00",250.16,USD
AMZN,AMAZON COM INC,Consumer Discretionary,"7,427,187,992.64",2.49,"7,427,187,992.64","79,214,889.00",93.76,USD
NVDA,NVIDIA CORP,Information Technology,"5,222,791,972.01",1.75,"5,222,791,972.01","22,223,701.00",235.01,USD
TSLA,TESLA INC,Consumer Discretionary,"4,973,980,542.66",1.67,"4,973,980,542.66","23,955,982.00",207.63,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,"4,899,129,915.02",1.64,"4,899,129,915.02","16,080,647.00",304.66,USD
GOOGL,ALPHABET INC CLASS A,Communication,"4,790,983,450.11",1.61,"4,790,983,450.11","53,310,153.00",89.87,USD
GOOG,ALPHABET INC CLASS C,Communication,"4,257,877,594.30",1.43,"4,257,877,594.30","47,257,243.00",90.10,USD
XOM,EXXON MOBIL CORP,Energy,"4,063,433,064.90",1.36,"4,063,433,064.90","36,756,518.00",110.55,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,"4,030,537,909.68",1.35,"4,030,537,909.68","8,339,274.00",483.32,USD
JPM,JPMORGAN CHASE & CO,Financials,"3,721,659,665.68",1.25,"3,721,659,665.68","26,179,373.00",142.16,USD
JNJ,JOHNSON & JOHNSON,Health Care,"3,631,592,433.92",1.22,"3,631,592,433.92","23,334,784.00",155.63,USD
META,META PLATFORMS INC CLASS A,Communication,"3,402,630,840.28",1.14,"3,402,630,840.28","20,069,782.00",169.54,USD
V,VISA INC CLASS A,Information Technology,"3,215,526,564.90",1.08,"3,215,526,564.90","14,592,814.00",220.35,USD
PG,PROCTER & GAMBLE,Consumer Staples,"2,942,812,808.82",0.99,"2,942,812,808.82","21,150,013.00",139.14,USD
HD,HOME DEPOT INC,Consumer Discretionary,"2,704,618,505.16",0.91,"2,704,618,505.16","9,136,916.00",296.01,USD
MA,MASTERCARD INC CLASS A,Information Technology,"2,693,287,821.36",0.90,"2,693,287,821.36","7,576,482.00",355.48,USD
CVX,CHEVRON CORP,Energy,"2,585,165,106.44",0.87,"2,585,165,106.44","15,877,442.00",162.82,USD
MRK,MERCK & CO INC,Health Care,"2,474,694,535.52",0.83,"2,474,694,535.52","22,628,882.00",109.36,USD
ABBV,ABBVIE INC,Health Care,"2,435,154,440.04",0.82,"2,435,154,440.04","15,783,993.00",154.28,USD
LLY,ELI LILLY,Health Care,"2,228,642,586.72",0.75,"2,228,642,586.72","7,038,856.00",316.62,USD
PEP,PEPSICO INC,Consumer Staples,"2,163,048,113.94",0.72,"2,163,048,113.94","12,296,334.00",175.91,USD
BAC,BANK OF AMERICA CORP,Financials,"2,131,058,274.51",0.71,"2,131,058,274.51","62,293,431.00",34.21,USD
AVGO,BROADCOM INC,Information Technology,"2,116,269,438.30",0.71,"2,116,269,438.30","3,614,774.00",585.45,USD
KO,COCA-COLA,Consumer Staples,"2,077,987,798.44",0.70,"2,077,987,798.44","34,737,342.00",59.82,USD
PFE,PFIZER INC,Health Care,"2,043,074,044.34",0.68,"2,043,074,044.34","50,099,903.00",40.78,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,"1,923,950,162.19",0.64,"1,923,950,162.19","3,950,373.00",487.03,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,"1,894,974,021.00",0.64,"1,894,974,021.00","3,500,460.00",541.35,USD
CSCO,CISCO SYSTEMS INC,Information Technology,"1,785,783,067.86",0.60,"1,785,783,067.86","36,646,482.00",48.73,USD
WMT,WALMART INC,Consumer Staples,"1,781,730,995.20",0.60,"1,781,730,995.20","12,597,080.00",141.44,USD
MCD,MCDONALDS CORP,Consumer Discretionary,"1,730,862,358.74",0.58,"1,730,862,358.74","6,536,983.00",264.78,USD
DIS,WALT DISNEY,Communication,"1,634,439,026.50",0.55,"1,634,439,026.50","16,271,170.00",100.45,USD
WFC,WELLS FARGO,Financials,"1,590,956,691.30",0.53,"1,590,956,691.30","34,009,335.00",46.78,USD
ABT,ABBOTT LABORATORIES,Health Care,"1,552,591,806.70",0.52,"1,552,591,806.70","15,561,710.00",99.77,USD
LIN,LINDE PLC,Materials,"1,520,010,421.44",0.51,"1,520,010,421.44","4,412,478.00",344.48,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,"1,497,264,330.00",0.50,"1,497,264,330.00","5,623,528.00",266.25,USD
VZ,VERIZON COMMUNICATIONS INC,Communication,"1,457,381,885.76",0.49,"1,457,381,885.76","37,484,102.00",38.88,USD
CRM,SALESFORCE INC,Information Technology,"1,456,047,013.32",0.49,"1,456,047,013.32","8,925,138.00",163.14,USD
DHR,DANAHER CORP,Health Care,"1,449,872,004.15",0.49,"1,449,872,004.15","5,847,437.00",247.95,USD
CMCSA,COMCAST CORP CLASS A,Communication,"1,438,083,725.85",0.48,"1,438,083,725.85","38,502,911.00",37.35,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,"1,383,042,490.16",0.46,"1,383,042,490.16","8,100,284.00",170.74,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,"1,358,267,750.58",0.46,"1,358,267,750.58","13,835,874.00",98.17,USD
ADBE,ADOBE INC,Information Technology,"1,337,401,086.72",0.45,"1,337,401,086.72","4,149,296.00",322.32,USD
NKE,NIKE INC CLASS B,Consumer Discretionary,"1,332,623,426.13",0.45,"1,332,623,426.13","11,242,921.00",118.53,USD
BMY,BRISTOL MYERS SQUIBB,Health Care,"1,328,152,496.82",0.45,"1,328,152,496.82","18,976,318.00",69.99,USD
RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,"1,301,039,885.92",0.44,"1,301,039,885.92","13,120,612.00",99.16,USD
NFLX,NETFLIX INC,Communication,"1,283,036,073.37",0.43,"1,283,036,073.37","3,971,879.00",323.03,USD
NEE,NEXTERA ENERGY INC,Utilities,"1,274,498,468.44",0.43,"1,274,498,468.44","17,735,854.00",71.86,USD
QCOM,QUALCOMM INC,Information Technology,"1,234,831,540.14",0.41,"1,234,831,540.14","10,005,117.00",123.42,USD
T,AT&T INC,Communication,"1,210,493,885.04",0.41,"1,210,493,885.04","63,609,768.00",19.03,USD
ORCL,ORACLE CORP,Information Technology,"1,206,493,664.40",0.40,"1,206,493,664.40","13,716,390.00",87.96,USD
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,"1,187,009,956.23",0.40,"1,187,009,956.23","6,513,801.00",182.23,USD
COP,CONOCOPHILLIPS,Energy,"1,177,308,439.92",0.39,"1,177,308,439.92","11,121,372.00",105.86,USD
UNP,UNION PACIFIC CORP,Industrials,"1,164,230,469.01",0.39,"1,164,230,469.01","5,487,253.00",212.17,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,"1,154,809,696.50",0.39,"1,154,809,696.50","6,000,570.00",192.45,USD
MS,MORGAN STANLEY,Financials,"1,137,763,690.40",0.38,"1,137,763,690.40","11,765,912.00",96.70,USD
AMD,ADVANCED MICRO DEVICES INC,Information Technology,"1,133,549,531.25",0.38,"1,133,549,531.25","14,390,625.00",78.77,USD
LOW,LOWES COMPANIES INC,Consumer Discretionary,"1,131,460,802.16",0.38,"1,131,460,802.16","5,539,859.00",204.24,USD
AMGN,AMGEN INC,Health Care,"1,116,514,904.85",0.37,"1,116,514,904.85","4,762,273.00",234.45,USD
CAT,CATERPILLAR INC,Industrials,"1,114,645,905.10",0.37,"1,114,645,905.10","4,644,745.00",239.98,USD
GS,GOLDMAN SACHS GROUP INC,Financials,"1,104,784,086.01",0.37,"1,104,784,086.01","3,022,417.00",365.53,USD
SCHW,CHARLES SCHWAB CORP,Financials,"1,060,237,058.76",0.36,"1,060,237,058.76","13,613,727.00",77.88,USD
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,"1,052,991,925.78",0.35,"1,052,991,925.78","8,069,522.00",130.49,USD
SBUX,STARBUCKS CORP,Consumer Discretionary,"1,049,519,619.72",0.35,"1,049,519,619.72","10,245,213.00",102.44,USD
INTU,INTUIT INC,Information Technology,"1,038,064,031.94",0.35,"1,038,064,031.94","2,515,787.00",412.62,USD
DE,DEERE,Industrials,"1,033,571,554.73",0.35,"1,033,571,554.73","2,451,371.00",421.63,USD
ELV,ELEVANCE HEALTH INC,Health Care,"1,015,259,646.50",0.34,"1,015,259,646.50","2,131,555.00",476.30,USD
SPGI,S&P GLOBAL INC,Financials,"1,014,997,089.86",0.34,"1,014,997,089.86","2,972,086.00",341.51,USD
PLD,PROLOGIS REIT INC,Real Estate,"1,012,603,990.71",0.34,"1,012,603,990.71","8,238,581.00",122.91,USD
BA,BOEING,Industrials,"1,002,315,234.96",0.34,"1,002,315,234.96","5,000,076.00",200.46,USD
LMT,LOCKHEED MARTIN CORP,Industrials,"998,203,240.98",0.33,"998,203,240.98","2,081,802.00",479.49,USD
CVS,CVS HEALTH CORP,Health Care,"994,953,973.44",0.33,"994,953,973.44","11,727,416.00",84.84,USD
MDT,MEDTRONIC PLC,Health Care,"989,252,317.79",0.33,"989,252,317.79","11,862,961.00",83.39,USD
AXP,AMERICAN EXPRESS,Financials,"924,621,007.40",0.31,"924,621,007.40","5,335,378.00",173.30,USD
INTC,INTEL CORPORATION CORP,Information Technology,"917,172,825.00",0.31,"917,172,825.00","36,834,250.00",24.90,USD
BLK,BLACKROCK INC,Financials,"915,642,613.06",0.31,"915,642,613.06","1,340,501.00",683.06,USD
GILD,GILEAD SCIENCES INC,Health Care,"905,516,067.57",0.30,"905,516,067.57","11,194,413.00",80.89,USD
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,"872,843,275.44",0.29,"872,843,275.44","346,218.00","2,521.08",USD
C,CITIGROUP INC,Financials,"872,465,401.64",0.29,"872,465,401.64","17,286,812.00",50.47,USD
AMAT,APPLIED MATERIAL INC,Information Technology,"860,520,977.68",0.29,"860,520,977.68","7,678,424.00",112.07,USD
ADI,ANALOG DEVICES INC,Information Technology,"840,866,612.95",0.28,"840,866,612.95","4,590,635.00",183.17,USD
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,"820,453,169.60",0.27,"820,453,169.60","3,702,406.00",221.60,USD
GE,GENERAL ELECTRIC,Industrials,"817,629,143.04",0.27,"817,629,143.04","9,752,256.00",83.84,USD
AMT,AMERICAN TOWER REIT CORP,Real Estate,"810,683,031.52",0.27,"810,683,031.52","4,155,644.00",195.08,USD
CI,CIGNA,Health Care,"808,689,979.12",0.27,"808,689,979.12","2,728,742.00",296.36,USD
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,"800,046,969.84",0.27,"800,046,969.84","12,188,406.00",65.64,USD
TJX,TJX INC,Consumer Discretionary,"796,883,247.90",0.27,"796,883,247.90","10,362,591.00",76.90,USD
SYK,STRYKER CORP,Health Care,"789,449,901.48",0.26,"789,449,901.48","3,006,054.00",262.62,USD
CB,CHUBB LTD,Financials,"784,147,603.68",0.26,"784,147,603.68","3,704,401.00",211.68,USD
NOW,SERVICENOW INC,Information Technology,"772,650,853.06",0.26,"772,650,853.06","1,802,858.00",428.57,USD
TMUS,T MOBILE US INC,Communication,"768,219,962.37",0.26,"768,219,962.37","5,330,049.00",144.13,USD
PYPL,PAYPAL HOLDINGS INC,Information Technology,"750,608,569.68",0.25,"750,608,569.68","10,174,984.00",73.77,USD
MO,ALTRIA GROUP INC,Consumer Staples,"744,429,127.26",0.25,"744,429,127.26","15,995,469.00",46.54,USD
PGR,PROGRESSIVE CORP,Financials,"739,879,109.04",0.25,"739,879,109.04","5,221,816.00",141.69,USD
ISRG,INTUITIVE SURGICAL INC,Health Care,"730,918,388.30",0.24,"730,918,388.30","3,154,045.00",231.74,USD
REGN,REGENERON PHARMACEUTICALS INC,Health Care,"724,253,245.76",0.24,"724,253,245.76","955,744.00",757.79,USD
MMC,MARSH & MCLENNAN INC,Financials,"718,195,941.29",0.24,"718,195,941.29","4,427,023.00",162.23,USD
SLB,SCHLUMBERGER NV,Energy,"688,483,516.80",0.23,"688,483,516.80","12,655,947.00",54.40,USD
ZTS,ZOETIS INC CLASS A,Health Care,"688,309,695.75",0.23,"688,309,695.75","4,159,725.00",165.47,USD
TGT,TARGET CORP,Consumer Discretionary,"685,244,970.97",0.23,"685,244,970.97","4,107,937.00",166.81,USD
DUK,DUKE ENERGY CORP,Utilities,"658,499,543.13",0.22,"658,499,543.13","6,872,973.00",95.81,USD
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,"658,449,207.00",0.22,"658,449,207.00","2,291,055.00",287.40,USD
FISV,FISERV INC,Information Technology,"650,152,420.32",0.22,"650,152,420.32","5,667,792.00",114.71,USD
SO,SOUTHERN,Utilities,"625,454,967.20",0.21,"625,454,967.20","9,716,560.00",64.37,USD
ETN,EATON PLC,Industrials,"618,963,030.66",0.21,"618,963,030.66","3,549,507.00",174.38,USD
NOC,NORTHROP GRUMMAN CORP,Industrials,"607,010,322.33",0.20,"607,010,322.33","1,291,319.00",470.07,USD
BDX,BECTON DICKINSON,Health Care,"602,994,493.18",0.20,"602,994,493.18","2,545,462.00",236.89,USD
EOG,EOG RESOURCES INC,Energy,"601,583,415.75",0.20,"601,583,415.75","5,242,557.00",114.75,USD
BSX,BOSTON SCIENTIFIC CORP,Health Care,"598,529,509.78",0.20,"598,529,509.78","12,783,629.00",46.82,USD
CME,CME GROUP INC CLASS A,Financials,"591,201,541.26",0.20,"591,201,541.26","3,210,609.00",184.14,USD
LRCX,LAM RESEARCH CORP,Information Technology,"587,583,091.89",0.20,"587,583,091.89","1,217,259.00",482.71,USD
ITW,ILLINOIS TOOL INC,Industrials,"580,823,196.00",0.19,"580,823,196.00","2,494,945.00",232.80,USD
CSX,CSX CORP,Industrials,"577,381,295.71",0.19,"577,381,295.71","18,764,423.00",30.77,USD
USB,US BANCORP,Financials,"574,182,498.24",0.19,"574,182,498.24","12,067,728.00",47.58,USD
EQIX,EQUINIX REIT INC,Real Estate,"572,548,540.00",0.19,"572,548,540.00","825,950.00",693.20,USD
HUM,HUMANA INC,Health Care,"572,302,103.43",0.19,"572,302,103.43","1,129,893.00",506.51,USD
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,"567,672,374.60",0.19,"567,672,374.60","3,599,698.00",157.70,USD
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,"565,002,019.32",0.19,"565,002,019.32","1,979,546.00",285.42,USD
MU,MICRON TECHNOLOGY INC,Information Technology,"561,812,211.30",0.19,"561,812,211.30","9,703,147.00",57.90,USD
AON,AON PLC CLASS A,Financials,"558,628,646.63",0.19,"558,628,646.63","1,846,157.00",302.59,USD
TFC,TRUIST FINANCIAL CORP,Financials,"558,213,636.82",0.19,"558,213,636.82","11,841,613.00",47.14,USD
CL,COLGATE-PALMOLIVE,Consumer Staples,"548,647,299.20",0.18,"548,647,299.20","7,454,447.00",73.60,USD
MMM,3M,Industrials,"534,135,536.82",0.18,"534,135,536.82","4,933,366.00",108.27,USD
MPC,MARATHON PETROLEUM CORP,Energy,"529,470,595.94",0.18,"529,470,595.94","4,182,893.00",126.58,USD
FCX,FREEPORT MCMORAN INC,Materials,"511,684,032.09",0.17,"511,684,032.09","12,757,019.00",40.11,USD
CCI,CROWN CASTLE INC,Real Estate,"508,828,171.55",0.17,"508,828,171.55","3,865,007.00",131.65,USD
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,"506,042,881.03",0.17,"506,042,881.03","4,985,153.00",101.51,USD
WM,WASTE MANAGEMENT INC,Industrials,"503,649,704.81",0.17,"503,649,704.81","3,333,883.00",151.07,USD
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,"499,812,796.72",0.17,"499,812,796.72","2,064,148.00",242.14,USD
GM,GENERAL MOTORS,Consumer Discretionary,"498,449,935.18",0.17,"498,449,935.18","12,679,978.00",39.31,USD
SNPS,SYNOPSYS INC,Information Technology,"495,913,001.28",0.17,"495,913,001.28","1,364,798.00",363.36,USD
ATVI,ACTIVISION BLIZZARD INC,Communication,"487,787,833.80",0.16,"487,787,833.80","6,356,370.00",76.74,USD
KLAC,KLA CORP,Information Technology,"479,483,267.43",0.16,"479,483,267.43","1,264,827.00",379.09,USD
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,"472,965,298.52",0.16,"472,965,298.52","2,448,314.00",193.18,USD
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,"472,505,036.28",0.16,"472,505,036.28","558,543.00",845.96,USD
HCA,HCA HEALTHCARE INC,Health Care,"469,402,305.84",0.16,"469,402,305.84","1,892,446.00",248.04,USD
SHW,SHERWIN WILLIAMS,Materials,"467,123,776.20",0.16,"467,123,776.20","2,104,730.00",221.94,USD
NSC,NORFOLK SOUTHERN CORP,Industrials,"465,567,290.71",0.16,"465,567,290.71","2,066,341.00",225.31,USD
VLO,VALERO ENERGY CORP,Energy,"464,693,950.15",0.16,"464,693,950.15","3,440,903.00",135.05,USD
GD,GENERAL DYNAMICS CORP,Industrials,"463,379,461.74",0.16,"463,379,461.74","2,009,277.00",230.62,USD
USD,USD CASH,Cash and/or Derivatives,"450,824,466.16",0.15,"450,824,466.16","450,824,466.00",100.00,USD
MCK,MCKESSON CORP,Health Care,"449,695,780.35",0.15,"449,695,780.35","1,265,501.00",355.35,USD
PSX,PHILLIPS 66,Energy,"437,234,361.45",0.15,"437,234,361.45","4,218,373.00",103.65,USD
FDX,FEDEX CORP,Industrials,"436,018,471.02",0.15,"436,018,471.02","2,136,717.00",204.06,USD
AZO,AUTOZONE INC,Consumer Discretionary,"435,852,329.00",0.15,"435,852,329.00","169,444.00","2,572.25",USD
DG,DOLLAR GENERAL CORP,Consumer Discretionary,"435,063,541.10",0.15,"435,063,541.10","2,013,251.00",216.10,USD
SRE,SEMPRA,Utilities,"434,510,264.32",0.15,"434,510,264.32","2,805,464.00",154.88,USD
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,"433,411,271.34",0.15,"433,411,271.34","433,411,271.00",1.00,USD
EMR,EMERSON ELECTRIC,Industrials,"433,282,585.80",0.15,"433,282,585.80","5,277,498.00",82.10,USD
GIS,GENERAL MILLS INC,Consumer Staples,"428,981,994.36",0.14,"428,981,994.36","5,297,382.00",80.98,USD
PXD,PIONEER NATURAL RESOURCE,Energy,"428,300,409.58",0.14,"428,300,409.58","2,120,614.00",201.97,USD
EW,EDWARDS LIFESCIENCES CORP,Health Care,"426,772,406.22",0.14,"426,772,406.22","5,518,133.00",77.34,USD
F,FORD MOTOR CO,Consumer Discretionary,"425,130,665.94",0.14,"425,130,665.94","35,251,299.00",12.06,USD
MET,METLIFE INC,Financials,"422,231,063.32",0.14,"422,231,063.32","5,882,294.00",71.78,USD
D,DOMINION ENERGY INC,Utilities,"418,933,251.25",0.14,"418,933,251.25","7,437,125.00",56.33,USD
PSA,PUBLIC STORAGE REIT,Real Estate,"416,522,650.58",0.14,"416,522,650.58","1,410,889.00",295.22,USD
AEP,AMERICAN ELECTRIC POWER INC,Utilities,"413,091,553.73",0.14,"413,091,553.73","4,586,339.00",90.07,USD
NXPI,NXP SEMICONDUCTORS NV,Information Technology,"411,079,382.62",0.14,"411,079,382.62","2,312,813.00",177.74,USD
APH,AMPHENOL CORP CLASS A,Information Technology,"408,756,878.40",0.14,"408,756,878.40","5,311,290.00",76.96,USD
MRNA,MODERNA INC,Health Care,"407,741,637.60",0.14,"407,741,637.60","2,948,880.00",138.27,USD
MCO,MOODYS CORP,Financials,"407,389,043.16",0.14,"407,389,043.16","1,406,196.00",289.71,USD
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,"407,297,892.19",0.14,"407,297,892.19","2,401,379.00",169.61,USD
ROP,ROPER TECHNOLOGIES INC,Information Technology,"406,069,922.28",0.14,"406,069,922.28","946,572.00",428.99,USD
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,"402,184,038.85",0.13,"402,184,038.85","6,631,229.00",60.65,USD
PH,PARKER-HANNIFIN CORP,Industrials,"401,657,089.60",0.13,"401,657,089.60","1,146,020.00",350.48,USD
